Pop,Turku_ID,Tissue,Oenothein_B ,Oenothein_A
747,141210 Daniel Ob Fruit 641,Fruit,28.5720858,20.0540075
748,141210 Daniel Ob Fruit 642,Fruit,60.56403351,12.11995202
749,141210 Daniel Ob Fruit 643,Fruit,77.53551855,11.86328431
750,141210 Daniel Ob Fruit 644,Fruit,60.70895471,11.27063113
751,141210 Daniel Ob Fruit 645,Fruit,57.12940689,5.018620479
752,141210 Daniel Ob Fruit 646,Fruit,74.70190814,13.90040218
753,141210 Daniel Ob Fruit 647,Fruit,105.6640976,14.75234359
754,141210 Daniel Ob Fruit 648,Fruit,64.29991733,10.60072963
755,141210 Daniel Ob Fruit 649,Fruit,74.84204423,12.15639177
756,141210 Daniel Ob Fruit 650,Fruit,100.6351441,13.83140728
757,141210 Daniel Ob Fruit 651,Fruit,123.2551928,22.9261086
758,141210 Daniel Ob Fruit 652,Fruit,36.52259819,73.07487412
759,141210 Daniel Ob Fruit 653,Fruit,18.60038688,1.034839109
761,141210 Daniel Ob Fruit 654,Fruit,30.49978799,26.2429834
763,141210 Daniel Ob Fruit 655,Fruit,66.0712916,15.72789051
765,141210 Daniel Ob Fruit 656,Fruit,18.07821854,121.2711645
766,141210 Daniel Ob Fruit 657,Fruit,9.783275465,106.9917385
767,141210 Daniel Ob Fruit 658,Fruit,6.070782589,79.84101811
768,141210 Daniel Ob Fruit 659,Fruit,17.65278502,123.6366177
769,141210 Daniel Ob Fruit 660,Fruit,2.317395524,79.71819479
770,141210 Daniel Ob Fruit 661,Fruit,46.70164506,23.51598826
771,141211 Daniel Ob Fruit 662,Fruit,7.678212108,62.02981938
772,141211 Daniel Ob Fruit 663,Fruit,108.1754826,12.76924295
773,141211 Daniel Ob Fruit 664,Fruit,57.96108521,10.84128557
775,141211 Daniel Ob Fruit 665,Fruit,23.10448951,3.04868541
776,141211 Daniel Ob Fruit 666,Fruit,28.08126397,85.63088848
777,141211 Daniel Ob Fruit 667,Fruit,66.32516492,14.44548077
779,141211 Daniel Ob Fruit 668,Fruit,92.49491527,14.2990561
780,141211 Daniel Ob Fruit 669,Fruit,5.737492051,93.02866658
781,141211 Daniel Ob Fruit 670,Fruit,3.635309664,117.344733
782,141211 Daniel Ob Fruit 671,Fruit,58.33228897,10.09701348
784,141211 Daniel Ob Fruit 672,Fruit,3.783413854,59.79181585
785,141211 Daniel Ob Fruit 673,Fruit,79.62297201,7.458149062
786,141211 Daniel Ob Fruit 674,Fruit,11.28582918,82.68330064
787,141211 Daniel Ob Fruit 675,Fruit,6.227054587,80.82246814
