Plant ID,Pop,Block,X,Flowering_Date,Flower_Number ,Leaf_Toughness,Water_Content,Growth_Rate,Bolt_Date,SLA,Above_mass,Below_mass,Num_Trichomes,Leaf_Herb_Sept,bug,Hight,Leaf_herb_July,S.florida,M.brevivatella ,Fruit,l1,l2,l3,l4,l5,d1,d2,d3,d4,d5
97,659,1,,192,57,90,76.18102422,0.12187889,132,50.73631541,66,6.2,196,2.5,6,146,0.9,0,3,196,40.16,25.47,33.59,27.7,29.61,6.53,4.91,5.41,4.96,5.22
98,659,2,,218,33,100,73.58684481,0.123771484,131,47.80268792,26.6,2.1,220,0.5,2,113,0.1,6,0,74,31.55,27.86,30.78,29,29.24,5.7,5.66,5.4,5.41,5.27
99,659,3,,201,28,160,73.00587741,0.093899782,130,46.61116691,27.9,2.9,250,4.5,9,103,0.2,0,7,39,26.33,34.11,32.51,30.47,26.41,6.29,6.25,6.74,7.5,5.89
100,659,4,,218,10,125,73.80442541,0.108635956,131,52.74668653,5.3,0.3,181,1.2,3,16,0.8,0,0,15,25.58,20.88,28.11,26.16,21.92,5.12,3.05,5.23,5.16,4.02
101,659,5,,210,0,110,75.54264228,0.135275994,131,43.97526106,123.2,10.3,278,4.428571429,12,153,0.2,4,1,270,28.5,29,28.5,33,32.5,5,5,5,5,5
102,661,3,,,,80,72.52663623,0.017609126,140,59.99985963,,,77,4.8,6,67,1.8,,,0,,,,,,,,,,
103,676,1,,121,17,130,80.85973689,0.10326877,130,67.30061375,107,7.4,190,0.8,2,175,0.3,0,0,197,28.77,23.09,29.99,26.16,26.36,5.09,4.7,5.03,4.33,4.82
104,676,2,,220,38,75,80.0281624,,,49.89823142,85.7,2.8,33,1.8,,,0.5,0,0,220,28.49,33.8,30.62,32.63,24.28,5.14,4.89,4.92,6.01,4.59
105,676,3,,228,7,135,71.40327579,0.093899782,132,47.45608233,39.8,4.3,198,1.3,10,124,0.1,0,0,97,33,27.2,31.9,32.2,27.6,4.2,4,4.6,4.1,4.1
106,676,4,,221,10,130,64.65909091,0.120411998,147,38.65148438,20.6,1.7,104,4.3,0,84,0.2,0,0,73,28.1,29.37,26.64,29.4,27.5,9.78,9.08,8.72,8.26,8.89
107,676,5,,228,6,105,72.95007564,0.10326877,131,50.83483252,42.5,,113,0.7,16,138,0.1,0,0,62,33,29.1,29,26.1,33.1,4.6,4.8,4.1,3.1,5
108,688,3,4,205,,120,76.51843818,0.100343332,131,53.94218149,20.5,2.3,235,1.3,20,100,0.9,23,4,43,27.57,24.4,26.82,25.02,23.33,26.6,24.39,27.34,27.17,23.8
109,688,4,2,208,48,150,76.25236935,0.108635956,132,58.35053213,20.2,3,64,1.6,12,97,,5,0,59,21.07,24.19,25.16,25.44,24.93,4.62,5.65,5.41,5.44,4.96
110,688,4,3,208,33,175,69.46695096,0.115710298,133,53.57422664,35.7,2.1,84,6.4,8,83,1.1,20,0,114,24,23.1,25,26.2,23.4,5.2,5.1,5,5.8,4.9
111,689,1,,189,33,140,77.08845209,0.090308999,134,65.17827075,5.7,0.7,66,0.7,11,76,6.1,0,8,30,16.43,19.92,20.95,23.65,22.84,3.25,4.67,3.64,4.44,5.04
112,689,2,,,0,70,79.39128192,,,73.19647367,,,79,0.3,,,1.1,,,0,,,,,,,,,,
113,689,3,,211,15,125,66.72268908,0.047712125,135,55.42682869,,,91,4.1,1,65,1.9,,,NA,,,,,,,,,,
114,689,4,,194,15,125,72.74774775,0.090323706,134,48.18393635,,1.7,64,0.3,9,53,2.1,,,NA,,,,,,,,,,
115,689,5,,191,40,95,68.16753927,0.113465478,132,55.58373408,7.1,0.6,119,2.1,12,68,11,7,3,52,17.09,16.56,17.39,19.2,17.12,4.97,3.36,4.12,4.11,4.2
116,690,1,,,0,95,79.10958904,,157,44.54895987,3.2,1.6,17,1,5,0,1.4,,,0,,,,,,,,,,
117,690,2,,201,41,125,71.57249233,0.111111111,133,38.68956466,15.5,1.1,125,0.3,12,76,0.2,0,0,34,28.5,25.1,32.1,25,23.2,4.1,5,4.5,4.1,4.1
118,690,3,,203,38,110,70.05928854,0.08646125,131,46.41833112,10.1,0.7,144,13.3,21,90,6.8,13,0,25,25.4,28.94,30.18,32.2,31.34,4.93,4.74,5.07,5.09,5.1
119,690,4,,,0,105,,,,,4.4,0.3,,1,0,0,0.9,,,0,,,,,,,,,,
120,691,2,,204,23,130,75.42759407,,,64.74840581,4.1,0.4,80,2.7,,,4.3,0,0,20,23.53,16.83,29.83,19.78,32.43,4.97,5.47,4.77,3.49,4.37
121,691,2,1,187,127,140,77.61744602,0.106069784,135,43.0827297,,,52,2.1,7,120,0.4,,,NA,,,,,,,,,,
122,691,3,,208,10,,,,,,2.1,0.1,,,,,,,,NA,,,,,,,,,,
123,692,1,,213,20,120,86.63065496,0.092941893,139,70.82039337,,0.5,128,1.8,7,84,0.2,12,0,18,30.67,29.6,31.37,28.93,31.07,4.12,4.37,4.42,3.62,4.34
124,692,2,,193,222,85,70.02295835,0.119909027,132,39.21109149,102,7.8,41,,31.5,,2.2,45,5,251,29.5,35.5,27.5,34.5,24.5,4,5,4,5,4
125,692,3,,206,45,200,76.12021858,0.111394335,131,62.98301223,36.3,,10,1,18,117,6.8,22,2,105,32.5,26.2,32.2,34.5,33,5.2,4.5,4.2,5,5
126,692,4,,225,17,145,74.26004228,0.106026945,132,47.1994088,,,0,0.9,8,78,0.3,,,NA,,,,,,,,,,
127,692,5,,210,58,160,70.99468489,0.060205999,134,40.46358385,30.8,2.9,104,1.5,22,110,0.3,26,0,69,29.59,33.08,35.57,31.74,30.35,4.52,5.01,5.61,5,5.28
128,693,1,,196,177,115,74.97294047,0.08646125,132,52.92440448,126.5,,114,0.9,7,130,1.1,0,2,314,29.02,24.52,21.59,26.02,31.41,6.76,6.26,4.75,6.57,6.57
129,693,2,,198,49,80,71.72829248,,,45.37251083,,,20,1.4,,,1.1,,,NA,,,,,,,,,,
130,693,3,,201,39,135,73.37909992,0.069897,134,54.69346536,16.4,1.1,129,1.4,15,96,3.9,0,0,62,26.16,24.35,26.33,28.9,26.4,6.98,5.34,6.54,5.67,5.9
131,693,4,,194,78,205,68.55730076,0.133791109,132,45.11189905,54.9,4.8,78,1,3,135,5,,,NA,,,,,,,,,,
132,693,5,,197,114,120,70.84513692,0.119909027,131,49.83490879,51.5,7,121,1.4,17,122,0.5,16,10,130,24.9,25,22.5,24,25.6,5.5,5.6,5,5.9,6
133,694,1,,186,30,120,74.50564972,0.106026945,132,75.22970905,4,0.7,80,2.6,12,76,,0,4,24,26.9,17.8,16.8,19.2,24,3.9,3.2,3.4,4.2,3.6
134,694,2,,186,22,95,68.21086262,0.107918125,133,43.29648084,4.6,,122,0.6,0,91,,0,25,19,26.48,22.27,22.41,23.2,22.6,5.47,5.03,5.24,5.55,5.01
135,694,3,,,0,160,78.53556485,,,64.37689857,4,0.8,188,1.2,0,0,2.9,,,0,,,,,,,,,,
136,694,4,,187,15,105,68.03900325,0.12734756,133,53.03161124,2.9,0.1,112,0.4,12,82,2,0,17,22,26,28,22.5,23.5,25.5,0,5.5,4,5,3.5
137,694,5,,191,19,125,70,0.130676807,134,38.51879169,2.2,,135,1.5,6,79,,2,10,15,23.27,22.28,23.03,24.09,22.61,3.51,3.74,4.24,4.47,4.14
138,695,1,,192,76,95,78.81374972,0.114824862,131,67.76515638,33.6,2.7,95,4.3,3,101,0.6,47,2,152,27.96,25.58,28.31,23.16,24.91,3.95,3.02,2.62,2.46,5.46
139,695,2,,208,15,110,,,,47.54226165,2.6,,98,9.1,,,0.777777778,0,0,16,23.2,27.75,29.55,27.94,29.27,4.42,4.77,5.15,5.13,5.03
140,695,3,,196,54,75,73.53973827,0.115710298,132,49.92995312,12.2,0.7,84,1,8,95,0.3,20,2,74,32.12,14.18,19.3,26.26,16.7,4.96,5.66,3.51,4.21,5.77
141,695,4,,193,42,140,69.3977591,0.12734756,134,48.54129558,12.7,0.9,98,0.8,5,102,0.571428571,11,13,44,31.99,26.05,31.45,29.22,22.11,4.85,5.02,5.55,5.65,3.04
142,695,5,,203,29,100,68.14814815,0.111111111,134,43.20121906,8.2,0.5,111,0.9,4,83,1.9,6,2,35,27.32,27.14,28.82,26.86,27.86,5.05,5.32,5.12,5.26,5.28
143,696,1,,195,55,135,75.826364,0.097229029,133,58.69941424,42.3,3.1,79,1.9,40,92,0.5,0,8,147,31.99,27.94,39.12,28.98,29.43,4.36,4.22,5.06,4.82,5.17
